0.00	1.00
0.84	0.54
0.91	-0.42
0.14	-0.99
-0.76	-0.65
-0.96	0.28
-0.28	0.96
0.66	0.75
0.99	-0.15
0.41	-0.91
-0.54	-0.84
-1.00	0.00
-0.54	0.84
0.42	0.91
0.99	0.14
0.65	-0.76
-0.29	-0.96
-0.96	-0.28
-0.75	0.66
0.15	0.99
0.91	0.41
0.84	-0.55
-0.01	-1.00
-0.85	-0.53
-0.91	0.42
-0.13	0.99
0.76	0.65
0.96	-0.29
0.27	-0.96
-0.66	-0.75
-0.99	0.15
-0.40	0.91
0.55	0.83
1.00	-0.01
0.53	-0.85
-0.43	-0.90
-0.99	-0.13
-0.64	0.77
0.30	0.96
0.96	0.27
0.75	-0.67
-0.16	-0.99
-0.92	-0.40
-0.83	0.56
0.02	1.00
0.85	0.53
0.90	-0.43
0.12	-0.99
-0.77	-0.64
-0.95	0.30
-0.26	0.96
0.67	0.74
0.99	-0.16
0.40	-0.92
-0.56	-0.83
-1.00	0.02
-0.52	0.85
0.44	0.90
0.99	0.12
0.64	-0.77
-0.30	-0.95
-0.97	-0.26
-0.74	0.67
0.17	0.99
0.92	0.39
0.83	-0.56
-0.03	-1.00
-0.86	-0.52
-0.90	0.44
-0.11	0.99
0.77	0.63
0.95	-0.31
0.25	-0.97
-0.68	-0.74
-0.99	0.17
-0.39	0.92
0.57	0.82
1.00	-0.03
0.51	-0.86
-0.44	-0.90
-0.99	-0.11
-0.63	0.78
0.31	0.95
0.97	0.25
0.73	-0.68
-0.18	-0.98
-0.92	-0.38
-0.82	0.57
0.04	1.00
0.86	0.51
0.89	-0.45
0.11	-0.99
-0.78	-0.63
-0.95	0.32
-0.25	0.97
0.68	0.73
0.98	-0.18
0.38	-0.93
-0.57	-0.82
-1.00	0.04
-0.51	0.86
0.45	0.89
0.99	0.10
0.62	-0.78
-0.32	-0.95
-0.97	-0.24
-0.73	0.69
0.18	0.98
0.93	0.38
0.82	-0.58
-0.04	-1.00
-0.86	-0.50
-0.89	0.46
-0.10	1.00
0.78	0.62
0.95	-0.33
0.24	-0.97
-0.69	-0.72
-0.98	0.19
-0.37	0.93
0.58	0.81
1.00	-0.05
0.50	-0.87
-0.46	-0.89
-1.00	-0.09
-0.62	0.79
0.33	0.94
0.97	0.23
0.72	-0.69
-0.19	-0.98
-0.93	-0.37
-0.81	0.58
0.05	1.00
0.87	0.49
0.89	-0.46
0.09	-1.00
-0.79	-0.61
-0.94	0.33
-0.23	0.97
0.70	0.72
0.98	-0.20
0.36	-0.93
-0.59	-0.81
-1.00	0.06
-0.49	0.87
0.47	0.88
1.00	0.08
0.61	-0.79
-0.34	-0.94
-0.97	-0.22
-0.71	0.70
0.20	0.98
0.93	0.36
0.81	-0.59
-0.06	-1.00
-0.87	-0.49
-0.88	0.47
-0.08	1.00
0.80	0.61
0.94	-0.34
0.22	-0.98
-0.70	-0.71
-0.98	0.21
-0.35	0.93
0.59	0.80
1.00	-0.07
0.48	-0.88
-0.48	-0.88
-1.00	-0.08
-0.60	0.80
0.35	0.94
0.98	0.22
0.71	-0.71
-0.21	-0.98
-0.94	-0.35
-0.80	0.60
0.07	1.00
0.88	0.48
0.88	-0.48
0.07	-1.00
-0.80	-0.60
-0.94	0.35
-0.21	0.98
0.71	0.71
0.98	-0.22
0.35	-0.94
-0.60	-0.80
-1.00	0.08
-0.48	0.88
0.48	0.88
1.00	0.07
0.59	-0.80
-0.35	-0.93
-0.98	-0.21
-0.70	0.71
0.22	0.98
0.94	0.34
0.80	-0.61
-0.08	-1.00
-0.88	-0.47
-0.87	0.49
-0.06	1.00
0.81	0.59
0.93	-0.36
0.20	-0.98
-0.71	-0.70
-0.97	0.22
-0.34	0.94
0.61	0.79
1.00	-0.08
0.47	-0.88
-0.49	-0.87
-1.00	-0.06
-0.59	0.81
0.36	0.93
0.98	0.20
0.70	-0.72
-0.23	-0.97
-0.94	-0.33
-0.79	0.61
0.09	1.00
0.89	0.46
0.87	-0.49
0.05	-1.00
-0.81	-0.58
-0.93	0.37
-0.19	0.98
0.72	0.69
0.97	-0.23
0.33	-0.94
-0.62	-0.79
-1.00	0.09
-0.46	0.89
0.50	0.87
1.00	0.05
0.58	-0.81
-0.37	-0.93
-0.98	-0.19
-0.69	0.72
0.24	0.97
0.95	0.33
0.78	-0.62
-0.10	-1.00
-0.89	-0.46
-0.86	0.50
-0.04	1.00
0.82	0.58
0.93	-0.38
0.18	-0.98
-0.73	-0.69
-0.97	0.24
-0.32	0.95
0.62	0.78
0.99	-0.10
0.45	-0.89
-0.51	-0.86
-1.00	-0.04
-0.57	0.82
0.38	0.93
0.98	0.18
0.68	-0.73
-0.25	-0.97
-0.95	-0.32
-0.78	0.63
0.11	0.99
0.89	0.45
0.86	-0.51
0.04	-1.00
-0.82	-0.57
-0.92	0.38
-0.18	0.98
